7B;Louis Blanc;22:17;1
5;Gare d'Austerlitz;15:41;6
9;Porte de Montreuil;17:59;3
4;Bagneux - Lucie Aubrac;8:57;2
12;Mairie d'Issy;16:16;3
13;Châtillon-Montrouge;9:15;1
12;Porte de Versailles;18:58;4
14;Bercy;13:37;1
3;Gallieni;21:42;1
13;La Fourche;18:12;7
14;Bercy;16:59;1
8;La Motte-Picquet - Grenelle;6:21;4
4;Porte de Clignancourt;8:18;1
5;Place d'Italie;9:59;4
9;Porte de Saint-Cloud;22:03;1
7;Porte de la Villette;8:32;10
4;Gare du Nord;18:14;4
9;Porte de Montreuil;6:06;3
11;Mairie des Lilas;21:29;1
5;Bobigny Pablo Picasso;19:25;1
13;Saint-Denis - Université;19:24;6
6;Daumesnil;12:40;2
6;Nation;6:37;1
8;La Motte-Picquet - Grenelle;10:49;4
5;Église de Pantin;14:41;2
11;Place des Fêtes;6:09;2
3B;Porte des Lilas;19:07;2
14;Olympiades;12:03;2
3;Gambetta;12:45;2
6;Corvisart;15:12;4
9;Pont de Sèvres;13:00;5
10;Boulogne Pont de Saint-Cloud;19:56;3
9;Porte de Montreuil;10:31;3
7;Mairie d'Ivry;12:24;1
5;Bobigny Pablo Picasso;18:03;1
8;La Motte-Picquet - Grenelle;19:55;4
7;La Courneuve - 8 Mai 1945;18:43;4
4;Bagneux - Lucie Aubrac;19:53;2
13;Saint-Denis - Université;6:26;6
4;Porte d'Orléans;10:48;5
8;Balard;9:26;2
13;Asnières - Gennevilliers Les Courtilles;11:38;2
9;Porte de Montreuil;16:01;3
4;Montparnasse Bienvenue;14:50;3
3B;Porte des Lilas;6:08;2
8;Balard;20:23;2
3;Gallieni;8:57;1
14;Olympiades;17:20;2
3;Porte de Champerret;11:01;4
10;Boulogne Pont de Saint-Cloud;15:22;3
8;La Motte-Picquet - Grenelle;12:53;4
8;La Motte-Picquet - Grenelle;13:38;4
8;Lourmel;9:10;1
9;Nation;20:18;8
8;La Motte-Picquet - Grenelle;20:21;4
5;Campo-Formio;21:32;5
9;Mairie de Montreuil;11:29;2
7;Mairie d'Ivry;17:29;11
9;Mairie de Montreuil;19:39;2
2;Nation;22:32;1
5;Campo-Formio;10:48;5
13;Asnières - Gennevilliers Les Courtilles;9:38;2
9;Mairie de Montreuil;13:26;4
5;Église de Pantin;16:26;2
10;Boulogne Pont de Saint-Cloud;12:20;3
4;Montparnasse Bienvenue;17:23;3
13;Saint-Denis - Université;20:59;6
3;Gallieni;17:23;1
2;Nation;10:42;1
2;Place de Clichy;12:08;3
4;Bagneux - Lucie Aubrac;8:46;2
1;Porte Maillot;16:29;3
14;Bibliothèque François Mitterrand;8:53;5
4;Bagneux - Lucie Aubrac;10:49;2
3;Gambetta;17:52;2
7;Mairie d'Ivry;20:45;11
2;Nation;13:20;1
11;Porte des Lilas;18:09;5
8;La Motte-Picquet - Grenelle;13:19;4
8;La Motte-Picquet - Grenelle;7:49;4
8;Balard;9:50;2
4;Bagneux - Lucie Aubrac;16:10;2
2;Jaurès;13:08;6
2;Nation;21:43;1
13;Asnières - Gennevilliers Les Courtilles;12:29;2
12;Mairie d'Aubervilliers;7:58;2
8;La Motte-Picquet - Grenelle;21:17;4
2;Victor Hugo;16:18;4
13;Saint-Denis - Université;11:59;6
3;Pont de Levallois - Bécon;9:48;3
2;Porte Dauphine;22:38;2
11;Mairie des Lilas;17:50;1
7;La Courneuve - 8 Mai 1945;10:33;4
12;Mairie d'Issy;14:01;3
10;Boulogne Pont de Saint-Cloud;11:39;3
12;Mairie d'Issy;10:50;3
5;Église de Pantin;6:55;2
12;Mairie d'Issy;19:35;3
8;Lourmel;17:32;1
14;Olympiades;12:13;2
8;Lourmel;16:29;1
3;Pont de Levallois - Bécon;21:59;3
13;Châtillon-Montrouge;9:10;4
8;La Motte-Picquet - Grenelle;22:56;4
2;Belleville;19:32;7
8;Lourmel;10:17;1
10;Porte d'Auteuil;17:47;2
7B;Louis Blanc;12:18;1
14;Bibliothèque François Mitterrand;15:26;5
13;Châtillon-Montrouge;8:03;1
2;Place de Clichy;10:58;3
5;Bobigny-Pantin - Raymond Queneau;9:47;3
13;Carrefour Pleyel;13:08;5
3;Gambetta;9:50;2
9;Mairie de Montreuil;20:51;2
6;Nation;16:32;1
13;Châtillon-Montrouge;17:35;1
1;Château de Vincennes;10:36;2
11;Porte des Lilas;14:15;5
9;Mairie de Montreuil;14:04;2
9;Nation;9:09;8
8;Lourmel;21:27;1
1;La Défense (Grande Arche);10:50;1
13;Châtillon-Montrouge;21:34;4
12;Porte de Versailles;22:55;4
2;Avron;7:32;5
13;Châtillon-Montrouge;17:52;4
5;Bobigny Pablo Picasso;17:50;1
10;Porte d'Auteuil;13:10;2
11;Mairie des Lilas;11:52;1
3;Pont de Levallois - Bécon;11:05;3
5;Place d'Italie;6:09;4
11;Châtelet;14:05;3
3;Gambetta;7:46;2
8;Balard;15:26;2
8;La Motte-Picquet - Grenelle;17:06;4
1;Gare de Lyon;11:39;6
14;Bibliothèque François Mitterrand;21:46;5
8;Pointe du Lac;20:13;3
12;Porte de Versailles;10:13;4
6;Bercy;10:53;6
10;Boulogne Pont de Saint-Cloud;19:40;3
14;Bibliothèque François Mitterrand;15:16;5
3;Gambetta;17:27;2
3;Gallieni;18:47;1
9;Nation;16:40;8
8;La Motte-Picquet - Grenelle;9:30;4
2;Victor Hugo;10:47;4
8;Pointe du Lac;19:42;3
3;Porte de Champerret;20:29;4
6;Bercy;10:15;6
5;Campo-Formio;19:24;5
7;Porte de la Villette;15:19;8
6;Bercy;13:30;6
3;Gallieni;17:48;1
12;Mairie d'Issy;8:19;3
11;Place des Fêtes;8:21;2
6;Daumesnil;17:43;2
5;Gare d'Austerlitz;20:09;6
9;Porte de Montreuil;18:25;3
3;Porte de Champerret;7:48;4
5;Bobigny Pablo Picasso;14:38;1
3;Gambetta;9:34;2
6;Nation;18:15;1
4;Bagneux - Lucie Aubrac;20:57;2
8;La Motte-Picquet - Grenelle;9:16;4
9;Nation;8:03;8
4;Montparnasse Bienvenue;6:47;3
8;La Motte-Picquet - Grenelle;10:37;4
12;Mairie d'Issy;17:10;3
7B;Louis Blanc;14:03;1
9;Mairie de Montreuil;19:50;4
8;Lourmel;21:34;1
9;Mairie de Montreuil;10:13;4
5;Gare d'Austerlitz;15:38;6
4;Bagneux - Lucie Aubrac;22:47;2
5;Église de Pantin;6:10;2
14;Olympiades;14:34;2
8;Balard;18:48;2
11;Châtelet;9:10;4
4;Bagneux - Lucie Aubrac;7:58;2
10;Boulogne Pont de Saint-Cloud;15:58;3
9;Mairie de Montreuil;12:17;2
8;La Motte-Picquet - Grenelle;14:28;4
10;Porte d'Auteuil;11:10;2
10;Porte d'Auteuil;13:10;2
9;Mairie de Montreuil;13:00;2
2;Nation;12:06;1
6;Bercy;20:57;6
6;Corvisart;19:59;4
5;Campo-Formio;7:38;5
9;Porte de Montreuil;21:57;3
8;Balard;8:01;2
5;Bobigny-Pantin - Raymond Queneau;17:19;3
1;Charles de Gaulle - Etoile;14:08;4
2;Porte Dauphine;7:00;2
10;Porte d'Auteuil;20:16;2
9;Porte de Montreuil;8:52;3
1;Hôtel de Ville;9:54;5
8;Balard;17:34;2
9;Nation;13:08;8
9;Mairie de Montreuil;9:39;4
9;Porte de Montreuil;8:27;3
7;La Courneuve - 8 Mai 1945;8:54;7
8;Balard;22:42;2
1;La Défense (Grande Arche);12:31;1
5;Gare d'Austerlitz;12:10;6
3;Gambetta;9:14;2
4;Gare du Nord;12:38;4
7;Porte de la Villette;7:17;8
8;Daumesnil;20:34;5
7;Porte de la Villette;17:37;8
8;La Motte-Picquet - Grenelle;17:11;4
14;Mairie de Saint-Ouen;17:19;3
9;Porte de Montreuil;9:05;3
7B;Louis Blanc;16:32;1
14;Bercy;12:17;1
9;Nation;10:30;8
4;Porte d'Orléans;6:14;5
8;La Motte-Picquet - Grenelle;7:39;4
3;Pont de Levallois - Bécon;14:11;3
12;Porte de Versailles;6:21;4
8;Lourmel;12:10;1
14;Mairie de Saint-Ouen;18:25;3
9;Nation;22:34;8
5;Bobigny-Pantin - Raymond Queneau;6:26;3
7;La Courneuve - 8 Mai 1945;10:48;4
12;Mairie d'Issy;21:00;3
5;Gare d'Austerlitz;21:24;6
1;Gare de Lyon;15:47;6
3;Gambetta;22:29;2
2;Belleville;12:27;7
7;Porte de la Villette;22:04;10
2;Belleville;22:01;7
7B;Louis Blanc;9:05;1
2;Victor Hugo;6:53;4
6;Bercy;10:09;6
9;Nation;13:08;8
5;Gare d'Austerlitz;13:14;6
9;Mairie de Montreuil;16:33;2
6;Corvisart;19:18;4
7;La Courneuve - 8 Mai 1945;16:27;7
4;Porte d'Orléans;7:11;5
9;Nation;22:05;8
11;Porte des Lilas;9:08;5
11;Mairie des Lilas;15:43;1
8;La Motte-Picquet - Grenelle;12:57;4
7;Porte de la Villette;19:57;10
9;Mairie de Montreuil;16:47;2
7;Mairie d'Ivry;16:08;11
